Ex.,Name,Ticker,QMV($),HQ Region,HQ Location,Sector,Sub Sector
TSXV,American Creek Resources Ltd.,AMK,10143988.36,Canada,AB,Mining,
TSXV,American CuMo Mining Corporation,MLY,37620546.3,Canada,BC,Mining,
TSX,American Hotel Income Properties REIT LP,HOT.UN,821699285.46,Canada,BC,Real Estate,Industrial/Office/Retail/Residential
TSXV,American Lithium Corp.,LI,4985485.875,Canada,BC,Mining,
TSXV,American Manganese Inc.,AMY,19214155.35,Canada,BC,Mining,
TSX,Americas Silver Corporation,USA,159209422.89,Canada,ON,Mining,
TSX,Amerigo Resources Ltd.,ARG,121050588.15,Canada,BC,Mining,
TSXV,Amex Exploration Inc.,AMX,4427660.655,Canada,QC,Mining,
TSX,Anaconda Mining Inc.,ANX,22890029.52,Canada,ON,Mining,
TSXV,AnalytixInsight Inc.,ALY,11839061.125,Canada,BC,Technology,Software
TSXV,Anchor Capital Corporation,ANC.P,,Canada,AB,CPC,
TSXV,Anconia Resources Corp.,ARA,2103133.78,Canada,ON,Mining,
TSX,Andrew Peller Limited/Andrew Peller Limitee,ADW.A,472518707.31,Canada,ON,,Consumer Staples
TSXV,Anfield Gold Corp.,ANF,48287472.435,Canada,BC,Mining,
TSXV,Anfield Resources Inc.,ARY,9843582.9,USA,USA,Mining,
TSXV,Angel Gold Corp.,ANG,3423238.325,Canada,BC,Mining,
TSXV,Angkor Gold Corp.,ANK,30014359.97,Canada,BC,Mining,
TSX,Anglo Pacific Group PLC,APY,361804068,UK/Europe,UK,Mining,
TSXV,Anglo-Bomarc Mines Ltd. (N.P.L.),ANB,6029580.6,Canada,BC,Mining,
TSXV,Anglo-Canadian Mining Corp.,URA,854725.845,Canada,BC,Mining,
TSXV,Annidis Corporation,RHA,1649238.06,Canada,ON,Life Sciences,Healthcare Facilities and Equipment
TSXV,Anterra Energy Inc.,AE.A,,Canada,AB,Oil & Gas,
TSXV,Antibe Therapeutics Inc.,ATE,14595544.735,Canada,ON,Life Sciences,Healthcare Services and Supplies
TSXV,Antioquia Gold Inc.,AGD,27610822.8,Canada,AB,Mining,
TSXV,Antler Gold Inc.,ANTL,11126433.5,Canada,NS,Mining,
TSXV,Apex Resources Inc.,APX,1114177.12,Canada,BC,Mining,
TSX,Aphria Inc.,APH,896773995.84,Canada,ON,Life Sciences,"Medical Marijuana,Cannabis"
TSXV,Apogee Opportunities Inc.,APE,1256588.48,Canada,ON,Mining,
TSXV,Appulse Corporation,APL,2241058.49,Canada,AB,,
TSX,Aptose Biosciences Inc.,APS,41785770.74,Canada,ON,Life Sciences,Biotechnology
TSX,Aquila Resources Inc.,AQA,65265513.12,Canada,ON,Mining,
TSX,Aralez Pharmaceuticals Inc.,ARZ,102084168.7,Canada,ON,Life Sciences,Pharmaceuticals
TSX,ARC Resources Ltd.,ARX,6078699367.74,Canada,AB,Oil & Gas,
TSXV,Arch Biopartners Inc.,ARCH,26027907.71,Canada,ON,Life Sciences,Pharmaceuticals
TSXV,Archon Minerals Limited,ACS,55534260.74,Canada,BC,Mining,
TSXV,ArcPacific Resources Corp.,ACP,248345.09,Canada,BC,Mining,
TSXV,Arctic Hunter Energy Inc.,AHU,1743785.685,Canada,BC,Oil & Gas,
TSXV,Arctic Star Exploration Corp.,ADD,12328317.45,Canada,BC,Mining,
TSXV,Arcus Development Group Inc.,ADG,9153367.8,Canada,BC,Mining,
TSXV,Ardonblue Ventures Inc.,ARB,16359439.32,Canada,BC,Mining,
TSXV,Arena Minerals Inc.,AN,13426268.95,Canada,ON,Mining,
TSXV,Argentina Lithium & Energy Corp.,LIT,5138452.5,Canada,BC,Mining,
TSXV,Argentum Silver Corp.,ASL,8057168.025,Canada,BC,Mining,
TSX,Argex Titanium Inc.,RGX,15467331.22,Canada,QC,Mining,
TSX,Argonaut Gold Inc.,AR,387522933.09,USA,USA,Mining,
TSXV,Argus Metals Corp.,AML,850133.195,Canada,BC,Mining,
TSXV,ARHT Media Inc.,ART,8452167.195,Canada,ON,Technology,Software
TSXV,Arian Resources Corp.,ARC,697764.4,Canada,BC,Mining,
TSXV,Arianne Phosphate Inc.,DAN,76165502.4,Canada,QC,Mining,
TSX,Aritzia Inc.,ATZ,711783374.64,Canada,BC,,Consumer Discretionary
TSX,Arizona Mining Inc.,AZ,1007634676.86,Canada,BC,Mining,
TSXV,Arizona Silver Exploration Inc.,AZS,5551930.4,Canada,BC,Mining,
TSXV,Armada Data Corporation,ARD,2032080.475,Canada,ON,Technology,IT Consulting & Services
TSXV,Armor Minerals Inc.,A,6483265.245,Canada,BC,Mining,
TSXV,Arrowstar Resources Ltd.,AWS,1031621.445,Canada,BC,Mining,
TSX,Artis Real Estate Investment Trust,AX.UN,2263340124.87,Canada,MB,Real Estate,Diversified
TSX,Asanko Gold Inc.,AKG,317381932.92,Canada,BC,Mining,
TSX,Ascendant Resources Inc.,ASND,50931798.17,Canada,ON,Mining,
TSXV,Ascot Resources Ltd.,AOT,256813497.36,Canada,BC,Mining,
TSXV,Ashanti Gold Corp.,AGZ,13022126.4,Canada,BC,Mining,
TSXV,Ashanti Sankofa Inc.,ASI,832025.91,Canada,BC,Mining,
TSXV,Ashburton Ventures Inc.,ABR,4167333.495,Canada,BC,Mining,
TSXV,AsiaBaseMetals Inc.,ABZ,8324289.75,Canada,BC,Mining,
TSXV,Asian Mineral Resources Limited,ASN,15778416.82,Canada,ON,Mining,
TSXV,Asian Television Network International Ltd.,SAT,18302185.5,Canada,ON,Comm & Media,
TSXV,Assure Holdings Corp.,IOM,39503578.01,USA,USA,Life Sciences,Healthcare Services and Supplies
TSXV,Astar Minerals Ltd.,TAR,4621866.2,Canada,BC,Mining,
TSXV,Aston Bay Holdings Ltd.,BAY,7936351.515,USA,USA,Mining,
TSXV,Astorius Resources Ltd.,ASQ,2358540,Canada,BC,Mining,
TSXV,ATAC Resources Ltd.,ATC,74967216.97,Canada,BC,Mining,
TSXV,Atacama Pacific Gold Corporation,ATM,51846066.56,Canada,ON,Mining,
TSX,Atalaya Mining plc,AYM,232192314.45,UK/Europe,Cyprus,Mining,
TSX,Atco Ltd.,ACO.X,5324150443.53,Canada,AB,Utilities & Pipelines,
TSXV,Athabasca Minerals Inc.,ABM,5328584,Canada,AB,Mining,
TSX,Athabasca Oil Corporation,ATH,529311748.16,Canada,AB,Oil & Gas,
TSXV,ATI Airtest Technologies Inc.,AAT,694111.62,Canada,BC,Clean Technology,Energy Efficiency
TSXV,Atico Mining Corporation,ATY,68622117.34,Canada,BC,Mining,
TSXV,Atlanta Gold Inc.,ATG,5239386.74,Canada,ON,Mining,
TSXV,Atlantic Gold Corporation,AGB,258204867.54,Canada,BC,Mining,Agriculture
TSX,Atlantic Power Corporation,ATP,460595881.76,USA,USA,Clean Technology,Renewable Energy Production and Distribution
TSX,Atlantic Power Preferred Equity Ltd.,AZP.PR.A,152255855.62,USA,USA,Clean Technology,Renewable Energy Production and Distribution
TSX,Atlatsa Resources Corporation,ATL,24948981.27,Africa,South Africa,Mining,
TSXV,AtmanCo Inc.,ATW,11081979.45,Canada,QC,Technology,Software
TSXV,Aton Resources Inc.,AAN,6427321.005,Canada,ON,Mining,
TSX,Atrium Mortgage Investment Corporation,AI,500384611.45,Canada,ON,Financial Services,
TSX,ATS Automation Tooling Systems Inc.,ATA,1254374348.4,Canada,ON,,
TSXV,Augusta Industries Inc.,AAO,6304488.66,Canada,ON,,Energy Services
TSXV,Aumento Capital VI Corporation,AUO.P,751680,Canada,ON,CPC,
TSX,Aura Minerals Inc.,ORA,49399829.1,Canada,BC,Mining,
TSXV,Aura Silver Resources Inc.,AUU,7046410.69,Canada,ON,Mining,
TSXV,Auramex Resource Corp.,AUX,654814.47,Canada,BC,Mining,
TSXV,Aurania Resources Ltd.,ARU,29893258.5,Canada,ON,Mining,
TSXV,Aurcana Corporation,AUN,22881142.71,Canada,BC,Mining,
TSXV,AurCrest Gold Inc.,AGO,1527483.82,Canada,ON,Mining,
TSXV,Aurelius Minerals Inc.,AUL,4066406.72,Canada,BC,Mining,
TSX,AuRico Metals Inc.,AMI,191165733.62,Canada,ON,Mining,
TSX,Aurinia Pharmaceuticals Inc.,AUP,656194701.66,Canada,BC,Life Sciences,Biotechnology
TSXV,Aurion Resources Ltd.,AU,108227972.6,Canada,BC,Mining,
TSX,Aurora Cannabis Inc.,ACB,986646253.86,Canada,BC,Life Sciences,"Medical Marijuana,Cannabis"
TSXV,Aurora Solar Technologies Inc.,ACU,14606631.48,Canada,BC,Clean Technology,Renewable Energy Equipment Manufacturing and Tech
TSXV,Aurora Spine Corporation,ASG,4146414.58,USA,USA,Life Sciences,Healthcare Facilities and Equipment
TSXV,Aurvista Gold Corporation,AVA,57713892.48,Canada,ON,Mining,
TSX,Auryn Resources Inc.,AUG,268287932.17,Canada,BC,Mining,
TSXV,Austin Resources Ltd.,AUT,642634.29,Canada,ON,Mining,
TSXV,Austral Gold Limited,AGLD,88227140.26,Latin America,Argentina,Mining,
TSX,Australian Banc Income Fund,AUI.UN,74506679.28,Canada,ON,Closed-End Funds,
TSX,Australian REIT Income Fund,HRR.UN,19960833.34,Canada,ON,Closed-End Funds,
TSX,AutoCanada Inc.,ACQ,551390434.64,Canada,AB,,Consumer Discretionary
TSXV,Automotive Finco Corp.,AFCC,44091090,Canada,ON,Financial Services,
TSX,Automotive Properties Real Estate Investment Trust,APR.UN,177727360,Canada,ON,Real Estate,Industrial/Office/Retail/Residential
TSX,Avalon Advanced Materials Inc.,AVL,26502390.75,Canada,ON,Mining,
TSXV,Avanco Capital Corp.,AAA.P,392000,Canada,BC,CPC,
TSXV,Avante Logixx Inc.,XX,28943878.46,Canada,ON,Technology,Hardware & Equipment
TSXV,Avanti Energy Inc.,AVN,3280895.65,Canada,BC,Oil & Gas,
TSX,Avcorp Industries Inc.,AVP,16892765.12,Canada,BC,,
TSXV,Aveda Transportation and Energy Services Inc.,AVE,19495748.92,Canada,AB,,Energy Services
TSX,Avesoro Resources Inc.,ASO,212990360.04,UK/Europe,UK,Mining,
TSX,Avigilon Corporation,AVO,620839380.82,Canada,BC,Technology,Hardware & Equipment
TSXV,Avino Silver & Gold Mines Ltd.,ASM,122210832.33,Canada,BC,Mining,
TSXV,Avivagen Inc.,VIV,29713676.1,Canada,ON,Life Sciences,Pharmaceuticals
TSX,Avnel Gold Mining Limited,AVK,163992085.5,UK/Europe,Guernsey,Mining,
TSXV,Avrupa Minerals Ltd.,AVU,7674879.7,Canada,BC,Mining,
TSXV,AXE Exploration Inc.,AXQ,1388936.125,Canada,QC,Mining,
TSXV,Axion Ventures Inc.,AXV,97751744.64,Asia,China,Technology,Software
TSXV,Axis Auto Finance Inc.,AXIS,30003994.5,Canada,ON,Financial Services,
TSXV,AXMIN Inc.,AXM,5219895.24,Canada,ON,Mining,
TSXV,Azarga Metals Corp.,AZR,8440565.7,Canada,BC,Mining,
TSX,Azarga Uranium Corp.,AZZ,21933692.275,USA,USA,Mining,
TSXV,Azimut Exploration Inc.,AZM,12728658.88,Canada,QC,Mining,
TSXV,Azincourt Uranium Inc.,AAZ,1571184.24,Canada,BC,Mining,
TSXV,Aztec Minerals Corp.,AZT,7521259.725,Canada,BC,Mining,
TSX,B2Gold Corp.,BTO,3058225253.23,Canada,BC,Mining,
TSXV,Bacanora Minerals Ltd.,BCN,196540743.11,Canada,AB,Mining,
TSX,Badger Daylighting Ltd.,BAD,982426032.88,Canada,AB,,Energy Services
TSX,Ballard Power Systems Inc.,BLDP,637615360.2,Canada,BC,Clean Technology,Energy Efficiency
TSX,Balmoral Resources Ltd.,BAR,85339433.56,Canada,BC,Mining,
TSXV,Bandera Gold Ltd.,BGL,420884.275,Canada,AB,Mining,
TSX,Bank of Montreal,BMO,65158713900.13,Canada,ON,Financial Services,
TSX,Bank of Nova Scotia (The),BNS,96086406123.55,Canada,ON,Financial Services,
TSX,Banro Corporation,BAA,58171639.83,Canada,ON,Mining,
TSXV,Banyan Gold Corp.,BYN,5164815.44,Canada,AB,Mining,
TSX,"Barclays Bank PLC Fixed Income Notes, Series I-10",BXS.DB.C,10250000,USA,USA,Closed-End Funds,
TSXV,Bard Ventures Ltd.,CBS,673062,Canada,BC,Mining,
TSXV,Barker Minerals Ltd.,BML,2697862.74,Canada,BC,Mining,
TSXV,Barkerville Gold Mines Ltd.,BGM,327204147.27,Canada,BC,Mining,
TSXV,Baroyeca Gold & Silver Inc.,BGS,461699.38,Canada,BC,Mining,
TSX,Barrick Gold Corporation,ABX,24579343556.2,Canada,ON,Mining,
TSXV,Barsele Minerals Corp.,BME,72303139.3,Canada,BC,Mining,
TSXV,Batero Gold Corp.,BAT,9214590.64,Canada,BC,Mining,
TSXV,Bayhorse Silver Inc.,BHS,7850440.16,Canada,BC,Mining,
TSX,Baylin Technologies Inc.,BYL,46523686.2,Other,Israel,Technology,Hardware & Equipment
TSXV,Bayshore Petroleum Corp.,BSH,647216.3,Canada,AB,Oil & Gas,
TSXV,Bayswater Uranium Corporation,BYU,1229581.92,Canada,BC,Mining,
TSX,Baytex Energy Corp.,BTE,819714315,Canada,AB,Oil & Gas,
TSXV,BC Moly Ltd.,BM,397601.055,Canada,BC,Mining,
TSX,BCE Inc.,BCE,55708311189.96,Canada,QC,Comm & Media,
TSXV,BCM Resources Corporation,B,2813318.655,Canada,BC,Mining,
TSXV,Be Resources Inc.,BER,1064669.375,USA,USA,Mining,
TSXV,Bear Creek Mining Corporation,BCM,259774361.28,Canada,BC,Mining,
TSXV,Bearclaw Capital Corp.,BRL,853019.685,Canada,BC,Mining,
TSXV,Bearing Lithium Corp.,BRZ,26275569.68,Canada,BC,Mining,
TSXV,Beaufield Resources Inc.,BFD,42762461.49,Canada,ON,Mining,
TSX,Becker Milk Company Ltd. (The),BEK.B,19901477,Canada,ON,Real Estate,Real Estate Operating Companies
TSXV,Bee Vectoring Technologies International Inc.,BEE,13052812.77,Canada,ON,Clean Technology,Low Impact Material and Products
TSX,Bellatrix Exploration Ltd.,BXE,201833967.68,Canada,AB,Oil & Gas,
TSX,BELLUS Health Inc.,BLU,24740420.37,Canada,QC,Life Sciences,Biotechnology
TSXV,Belmont Resources Inc.,BEA,1980838.52,Canada,BC,Mining,
TSX,Belo Sun Mining Corp.,BSX,302037459.75,Canada,ON,Mining,
TSXV,Belvedere Resources Ltd.,BEL,3695200.65,Canada,BC,Mining,
TSX,Bengal Energy Ltd.,BNG,10226669.4,Canada,AB,Oil & Gas,
TSXV,Benton Resources Inc.,BEX,5558422.17,Canada,ON,Mining,
TSXV,Benz Mining Corp.,BZ,1877350.5,Canada,BC,Mining,
TSXV,Berkwood Resources Ltd.,BKR,6369332.37,Canada,BC,Mining,
TSX,BetaPro Canadian Gold Miners -2x Daily Bear ETF,HGD,19203910,Canada,ON,ETP,
TSX,BetaPro Canadian Gold miners 2x Daily Bull ETF,HGU,127771300,Canada,ON,ETP,
TSX,BetaPro Crude Oil -2x Daily Bear ETF,HOD,60614400,Canada,ON,ETP,
TSX,BetaPro Crude Oil 2x Daily Bull ETF,HOU,323441831.25,Canada,ON,ETP,
TSX,BetaPro Gold Bullion -2x Daily Bear ETF,HBD,2590000,Canada,ON,ETP,
TSX,BetaPro Gold Bullion 2x Daily Bull ETF,HBU,12375250,Canada,ON,ETP,
TSX,BetaPro NASDAQ-100 -2x Daily Bear ETF,HQD,10149780,Canada,ON,ETP,
TSX,BetaPro NASDAQ-100 2x Daily Bull ETF,HQU,33905300,Canada,ON,ETP,
TSX,BetaPro Natural Gas -2x Daily Bear ETF,HND,17425100,Canada,ON,ETP,
TSX,BetaPro Natural Gas 2x Daily Bull ETF,HNU,117456265.68,Canada,ON,ETP,
TSX,BetaPro S&P 500 -2x Daily Bear ETF,HSD,51070500,Canada,ON,ETP,
TSX,BetaPro S&P 500 2x Daily Bull ETF,HSU,29293250,Canada,ON,ETP,
TSX,BetaPro S&P 500 Daily Inverse ETF,HIU,24062500,Canada,ON,ETP,
TSX,BetaPro S&P 500 VIX Short-Term Futures 2x Daily Bull ETF,HVU,27347714.31,Canada,ON,ETP,
TSX,BetaPro S&P 500 VIX Short-Term Futures Daily Inverse ETF,HVI,15378400,Canada,ON,ETP,
TSX,BetaPro S&P 500 VIX Short-Term Futures ETF,HUV,4043812.5,Canada,ON,ETP,
TSX,BetaPro S&P/TSX 60 -2x Daily Bear ETF,HXD,54131760,Canada,ON,ETP,
TSX,BetaPro S&P/TSX 60 2x Daily Bull ETF,HXU,31881150,Canada,ON,ETP,
TSX,BetaPro S&P/TSX 60 Daily Inverse ETF,HIX,28642500,Canada,ON,ETP,
TSX,BetaPro S&P/TSX Capped Energy -2x Daily Bear ETF,HED,4259550,Canada,ON,ETP,
TSX,BetaPro S&P/TSX Capped Energy 2x Daily Bull ETF,HEU,15536700,Canada,ON,ETP,
TSX,BetaPro S&P/TSX Capped Financials -2x Daily Bear ETF,HFD,10579200,Canada,ON,ETP,
TSX,BetaPro S&P/TSX Capped Financials 2x Daily Bull ETF,HFU,19297000,Canada,ON,ETP,
TSX,BetaPro Silver -2x Daily Bear ETF,HZD,455760,Canada,ON,ETP,
TSX,BetaPro Silver 2x Daily Bull ETF,HZU,29202000,Canada,ON,ETP,
TSXV,betterU Education Corp.,BTRU,9800728.64,Canada,ON,Technology,Internet Software & Services
TSXV,Bevo Agro Inc.,BVO,29588623.62,Canada,BC,Clean Technology,"Low Impact Material and Products,Agriculture"
TSXV,BeWhere Holdings Inc.,BEW,18042002.765,Canada,ON,Technology,Software
TSXV,BHK Mining Corp.,BHK,822142.5,Canada,BC,Mining,
